Faixa etária,Nivel de escolaridade,"Sabe o que é lixo tóxico e químico? (Exemplo: lâmpadas, óleo de cozinha, remédios vencidos, pilhas e entre outros) ",Resposta – Sabe o que é lixo tóxico e químico?,Onde você faz o descarte desse tipo de lixo?,"Você realiza a separação de lixo tóxico, químico e comum?","Resposta – Você realiza a separação de lixo tóxico, químico e comum?",Onde você acha que é o local ideal para realizar o descarte dentro da comunidade?,Resposta – Onde você acha que é o local ideal para realizar o descarte dentro da comunidade?,Sabe como o descarte incorreto desses lixos pode afetar o meio ambiente e sua família?,Resposta – Sabe como o descarte incorreto desses lixos pode afetar o meio ambiente e sua família?,Tem algum incentivo de órgãos governamentais para o descarte desse tipo de lixo?,Respostas – Tem algum incentivo de órgãos governamentais para o descarte desse tipo de lixo?,Porque você acha importante o desenvolvimento desse projeto na comunidade?,Respostas – Porque você acha importante o desenvolvimento desse projeto na comunidade?
51 ou mais,Ensino médio incompleto,Sabe que nao  podem jogar em lixo comum descarta em lojas e disse que gostaria de ter uma coleta mais próximas ,Consciência ambiental,Lixo específico ,Sim é separado, Realiza separação,Proximo ao posto de saúde , Locais específicos para descarte de resíduos,Não sabe mas acha que contem toxinas quimicas, Saúde humana,Não tem nenhum tipo de incentivo,Não há incentivo,Acha importante para incentivar a reciclagem e descarte correto, Local de descarte
51 ou mais,Ensino fundamental incompleto,"Sabe que as lâmpadas, televisões, bateria de celular são tóxicos ao meio ambiente, porque fazem mal a ele",Consciência ambiental,"Descarte nas lojas do centro de campo largo, que são longes e para descartar juntam bastante","Sim e leva no descarte, nos demais reciclados passe catador na rua.", Realiza separação parcialmente,"No Posto de saúde, pq já descartam seringas e medicamentos.", Locais específicos para descarte de resíduos,"Não sabem, mas tem noção que a química dentro dos equipamentos podem fazer mal à saúde, como o chumbo que pode causar câncer.", Saúde humana,"Não, e até ocorre o descarte incorreto na br, no córrego. ",Não há incentivo,Ora desenvolver um local ideal de descarte e dar consciência as pessoas., Conscientização
51 ou mais,Ensino fundamental incompleto,"Não, mas com os exemplos ela ficou surpresa ao saber que significava isso",Desconhecimento,No lixo,Separa corretamente, Realiza separação,Nos lixos separados adequadamente , Reciclagem e reutilização de resíduos,"Sim, ela deu os exemplos das enchentes", Impactos ambientais,Nao,Não há incentivo,É importante por que ajuda a sociedade a ajudar mais no meio ambiente, Meio ambiente
51 ou mais,Ensino fundamental incompleto,Não ,Desconhecimento,Coleta de lixo / caminhão ,Não , Não realiza a separação,Na lixeira na frente de casa, Coleta pela prefeitura ou caminhão de lixo,"Sim, tem um monte de coisa, solo, tudo é afetado ", Impactos ambientais,Nao so o caminhão de lixo,Não há incentivo,"Sim, muito importante até para não dar problema na comunidade depois.", Local de descarte
51 ou mais,Ensino fundamental incompleto,"Sabe, pilha, aparelho ",Conhecimento específico,Remédio leva no posto ,"Sim, separa ", Realiza separação,"Não sabe, mas acha que a prefeitura vai coletar ", Coleta pela prefeitura ou caminhão de lixo,"Muitas coisas, o solo ", Impactos ambientais,"Sim, prefeitura ",Tem incentivo,Para conscientizar as pessoas da comunidade , Conscientização
Entre 31 a 50 anos,Ensino fundamental incompleto,"Sim, tipo pilha e aparelho ",Conhecimento específico,Levo no posto,Sim faz a separação do lixo , Realiza separação,Nas lixeiras que ficam na frente da casa, Coleta pela prefeitura ou caminhão de lixo,Pode afetar um monte de coisa tipo o solo , Impactos ambientais,Sim a prefeitura esta fazendo um projeto sobre esse tema ,Tem incentivo,Importante pra incentivar a comunidade a separar o lixo corretamente , Local de descarte
Entre 26 a 30 anos,Ensino fundamental completo,Sim,Conhecimento amplo,Lixeira da minha casa ,Nao, Não realiza a separação,Não sei sobre , Falta de opções ou informações sobre descarte,Não sei isso influência na minha vida , Desconhecimento,Nao,Não há incentivo,Pra melhorar o descarte , Meio ambiente
Menos de 15 anos,Ensino fundamental incompleto,Nao ,Desconhecimento,Sim,Sim, Realiza separação,Nao sabe , Falta de opções ou informações sobre descarte,Sim, Conhecimento genérico,Sim,Tem incentivo,Super importante, Conscientização e meio ambiente
Menos de 15 anos,Ensino médio completo,Sim,Conhecimento amplo,Coloca na sacola e deixa separado do lixo,Deixa separado  , Realiza separação parcialmente,Passar com frequência , Coleta pela prefeitura ou caminhão de lixo,Pode afetar o rio e a natureza , Impactos ambientais,Não ,Não há incentivo,Ajuda na conscientização e evitar mais poluição , Local de descarte
Entre 31 a 50 anos,Ensino médio completo,"Sim, bateria,
Lampada, pilha",Conhecimento específico,Coloca no recipiente e entrega para o voluntário que faz a arrecadação.,Sim, Realiza separação,"Escolas, mercados e um caminhão passando nas casas.", Coleta pela prefeitura ou caminhão de lixo,"Na natureza, rios, ", Impactos ambientais,Nao,Não há incentivo,"Sim, para ajudar na organização e descarte correto do lixo evitando mais poluição.", Conscientização
Menos de 15 anos,Ensino fundamental incompleto,Sim,Conhecimento amplo,"Tóxico, sacolas ele acostuma guardando,
Químico ele joga no lixo mesmo ",Sim , Realiza separação,Não tem nenhum local , Falta de opções ou informações sobre descarte,"Plantas, animais, pode prejudicar a alimentação ", Impactos ambientais,"A escola, tá fazendo uma rendição com o núcleo ",Não há incentivo,Para conscientizar as pessoas , Meio ambiente
Entre 15 a 20 anos,Ensino médio incompleto,Não ,Desconhecimento,"Leva a algum ponto , em Curitiba ",Faz a separação , Realiza separação,Mercado e escola , Locais específicos para descarte de resíduos,Não , Desconhecimento,Não ,Não há incentivo,Prejudica o meio ambiente , Qualidade de vida
Entre 15 a 20 anos,Ensino médio incompleto,"Sim, bateria celular, lampada",Conhecimento específico,Leva nos pontos de coleta em Curitiba,Sim, Realiza separação,Mercados , Locais específicos para descarte de resíduos,Não., Desconhecimento,Não.,Não há incentivo,Evitar poluição do descarte incorreto., Educação
Entre 26 a 30 anos,Ensino superior,Sim sabe a diferença ,Conhecimento amplo,Separa em uma sacola normal e coloca no local de coleta do lixo normal,Sim, Realiza separação,"Não existe local correto na comunidade, mas a pessoa sabe onde deveria ser feito", Falta de opções ou informações sobre descarte,Sim, Conhecimento genérico,Não. Somente o caminhão de lixo reciclado,Não há incentivo,Para melhorar a coleta do lixo e a qualidade de vida , Conscientização
Menos de 15 anos,Ensino fundamental incompleto,"Sim, tem conhecimento do que se trata o lixo ",Conhecimento amplo,Tudo junto com o lixo convencional ,"Não faz a separação, vai tudo no mesmo lixo ", Não realiza a separação,"Não, a comunidade não tem ações nesse tipo ", Falta de opções ou informações sobre descarte,"Não, não tinha conhecimento ", Desconhecimento,Não ,Não há incentivo,Importante de acordo com o entrevistado , Meio ambiente
Entre 15 a 20 anos,Ensino fundamental completo,"Não, tudo igual ",Desconhecimento,Catador de lixo ,Sim eu separo o lixo , Realiza separação,Acho legal separar em lixeiras e postos corretos de descarte, Reciclagem e reutilização de resíduos,Não eu não entendo muito sobre o assunto , Desconhecimento,Olha de ter mas eu não sei ,Não há incentivo,Eu sei que é importante mas eu não sei especificamente para como isso contribui para a comunidade  , Conscientização e meio ambiente
Entre 31 a 50 anos,Ensino médio completo,Tinha uma ideia mais ou menos,Conhecimento parcial,No caminhão ,Realiza separação , Realiza separação,"Não tem ideia, tem um rapaz que reaproveita e faz sabão ", Reciclagem e reutilização de resíduos,Não tem noção, Desconhecimento,A prefeitura entregou folders e fez a explicação de como seria feita a coleta,Tem incentivo,"Com certeza, eles separam o reciclável mas não o lixo tóxico ", Local de descarte
Entre 31 a 50 anos,Ensino superior,"Sim! Químico pilha tóxico, óleo químico",Conhecimento específico,"Aqui não tem separação, são feitos em mercados ",Sim, Realiza separação,Nas casas onde o caminhão passaria buscar, Coleta pela prefeitura ou caminhão de lixo,O lixo contaminada o solo , Impactos ambientais,Não tem incentivo ,Não há incentivo,Acho para as pessoas terem conscientização , Qualidade de vida
